PID CMD
1020 avahi-daemon
980 avahi-daemon
4600 bash
537 card1-crtc0
538 card1-crtc1
539 card1-crtc2
540 card1-crtc3
4124 cat
4125 cat
20 cpuhp/0
21 cpuhp/1
27 cpuhp/2
33 cpuhp/3
39 cpuhp/4
45 cpuhp/5
51 cpuhp/6
57 cpuhp/7
13797 cut
982 dbus-daemon
89 ecryptfs-kthread
2137 fusermount3
2049 gdm-session-wor
9048 gjs
97 hwrng
19 idle_inject/0
22 idle_inject/1
28 idle_inject/2
34 idle_inject/3
40 idle_inject/4
46 idle_inject/5
52 idle_inject/6
58 idle_inject/7
223 irq/160-FTCS0038:00
8832 irq/161-mei_me
557 irq/163-rtw88_pci
644 irq/164-nvidia
647 irq/165-AudioDSP
78 irq/9-acpi
274 jbd2/sda9-8
66 kauditd
72 kcompactd0
63 kdevtmpfs
74 khugepaged
68 khungtaskd
1520 krfcommd
73 ksmd
16 ksoftirqd/0
24 ksoftirqd/1
30 ksoftirqd/2
36 ksoftirqd/3
42 ksoftirqd/4
48 ksoftirqd/5
54 ksoftirqd/6
60 ksoftirqd/7
88 kswapd0
2 kthreadd
9 kworker/0:0H-events_highpri
12540 kworker/0:0-i915-unordered
13752 kworker/0:1
188 kworker/0:1H-events_highpri
13437 kworker/0:2-events_freezable
13294 kworker/1:0-events
26 kworker/1:0H-events_highpri
13713 kworker/1:1-events
168 kworker/1:1H-kblockd
11288 kworker/1:2-events
32 kworker/2:0H-events_highpri
12578 kworker/2:1-events
87 kworker/2:1H-kblockd
13488 kworker/2:2-mm_percpu_wq
12884 kworker/3:0-events
38 kworker/3:0H-events_highpri
13600 kworker/3:1-events
101 kworker/3:1H-kblockd
10218 kworker/3:2-i915-unordered
12882 kworker/4:0-events
44 kworker/4:0H-events_highpri
13652 kworker/4:1-events
190 kworker/4:1H-kblockd
13237 kworker/4:2-mm_percpu_wq
13676 kworker/5:0
50 kworker/5:0H-events_highpri
13298 kworker/5:1-events
151 kworker/5:1H-kblockd
11044 kworker/5:2-mm_percpu_wq
13083 kworker/6:0-events
56 kworker/6:0H-events_highpri
152 kworker/6:1H-events_highpri
13307 kworker/6:2-mm_percpu_wq
